【  央视_电信  】,#genre#
茶_电信,http://27.18.190.49:85/rtp/239.69.1.144:10500
茶_电信,http://59.174.169.143:10000/rtp/239.69.1.144:10500
金鹰卡通_电信,http://27.18.190.49:85/rtp/239.69.1.248:11130
金鹰卡通_电信,http://119.98.183.124:8000/rtp/239.69.1.248:11130
金鹰卡通_电信,http://59.174.169.143:10000/rtp/239.69.1.248:11130
金鹰纪实_电信,http://27.18.190.49:85/rtp/239.69.1.109:10292
金鹰纪实_电信,http://119.98.183.124:8000/rtp/239.69.1.109:10292
金鹰纪实_电信,http://59.174.169.143:10000/rtp/239.69.1.109:10292
阳新综合_电信,http://27.18.190.49:85/rtp/239.69.1.34:9844
阳新综合_电信,http://119.98.183.124:8000/rtp/239.69.1.34:9844
阳新综合_电信,http://59.174.169.143:10000/rtp/239.69.1.34:9844
【  其他_联通  】,#genre#
中国教育1_联通,http://183.92.4.163:4000/udp/228.0.0.146:7146
CETV2_联通,http://183.92.4.163:4000/udp/228.0.0.198:7198
中国教育4_联通,http://183.92.4.163:4000/udp/228.0.0.177:7177
CHC动作电影_联通,http://183.92.4.163:4000/udp/228.0.0.212:6108
CHC家庭影院_联通,http://183.92.4.163:4000/udp/228.0.0.211:6108
CHC电影_联通,http://183.92.4.163:4000/udp/228.0.0.233:6108
先锋乒羽_联通,http://183.92.4.163:4000/udp/228.0.0.241:6108
国学_联通,http://183.92.4.163:4000/udp/228.0.0.75:6108
快乐垂钓_联通,http://183.92.4.163:4000/udp/228.0.0.203:6108
怀旧剧场_联通,http://183.92.4.163:4000/udp/228.0.0.237:6108
新动漫_联通,http://183.92.4.163:4000/udp/228.0.0.240:6108
湖北公共_联通,http://183.92.4.163:4000/udp/228.0.0.124:6108
湖北垄上_联通,http://183.92.4.163:4000/udp/228.0.0.127:6108
湖北影视_联通,http://183.92.4.163:4000/udp/228.0.0.205:6108
湖北教育_联通,http://183.92.4.163:4000/udp/228.0.0.206:6108
湖北生活_联通,http://183.92.4.163:4000/udp/228.0.0.204:6108
湖北经视_联通,http://183.92.4.163:4000/udp/228.0.0.125:6108
湖北综合_联通,http://183.92.4.163:4000/udp/228.0.0.126:6108
环球奇观_联通,http://183.92.4.163:4000/udp/228.0.0.73:6108
第一剧场_联通,http://183.92.4.163:4000/udp/228.0.0.235:6108
老故事_联通,http://183.92.4.163:4000/udp/228.0.0.238:6108
茶_联通,http://183.92.4.163:4000/udp/228.0.0.234:6108
财富天下_联通,http://183.92.4.163:4000/udp/228.0.0.88:6108
金鹰卡通_联通,http://183.92.4.163:4000/udp/228.0.0.59:6108
金鹰纪实_联通,http://183.92.4.163:4000/udp/228.0.0.145:7145
风云足球_联通,http://183.92.4.163:4000/udp/228.0.0.236:6108
【  其他_移动  】,#genre#
